label,n_interests,n_projects,interests,subj_1_name,subj_1_score,subj_2_name,subj_2_score,subj_3_name,subj_3_score,subj_4_name,subj_4_score,subj_5_name,subj_5_score,project_skills
CCS,2,1,Web Development|Network & Wireless Systems,Engineering Mathematics-III,82.9,Computer Networks,78.8,Artificial Intelligence,74.3571506504586,Full Stack Development,72.2,Python,67.81329773190195,kubernetes|fullstack|react
WT,1,2,Mobile & IoT Development,Design & Analysis of Algorithms,75.9,Microcontroller & Embedded Systems,74.6,IoT,69.6,Operating Systems,69.3,Software Engineering,68.1,microcontroller|gpio|iot|sensor|esp32|wireless|mqtt
CCS,2,1,Cloud & Distributed Systems|Data Science & Analytics,C++,77.0,Microcontroller & Embedded Systems,67.9,Engineering Mathematics-III,63.9,IoT,60.8,Full Stack Development,59.6,fullstack|azure|aws|serverless|react
ML,1,3,Data Science & Analytics,Cryptography & Network Security,60.5,Digital Logic & Design,54.8,Artificial Intelligence,52.4,Data Structures and Algorithms,46.3,Database Management Systems,45.3,numpy|classification|sensor|keras|deep learning|nlp
ML,1,2,Artificial Intelligence & Machine Learning,Data Structures and Algorithms,72.2,Artificial Intelligence,68.0,Engineering Mathematics-III,66.4,Full Stack Development,65.2,Automata Theory,64.6,classification|machine learning|pytorch|mongodb|pandas|keras|deep learning|neural network|python|nlp
DWM,1,2,Data Science & Analytics,Data Structures and Algorithms,98.3,Database Management Systems,90.6,Design & Analysis of Algorithms,84.9,Cryptography & Network Security,81.5,C++,78.9,mongodb|dashboard|postgresql|etl|analytics|sql|tableau
ML,2,4,Artificial Intelligence & Machine Learning|Data Science & Analytics,Automata Theory,63.3,Design & Analysis of Algorithms,52.1,Java,49.8,Artificial Intelligence,43.0,Cryptography & Network Security,39.7,sklearn|neural network|classification|pandas|keras|deep learning|pytorch|python|nlp
ML,4,2,Artificial Intelligence & Machine Learning|Data Science & Analytics|Cloud & Distributed Systems|Mobile & IoT Development,Python,86.7,Cryptography & Network Security,78.4,Automata Theory,76.9,C++,65.2,Java,62.2,numpy|neural network|pandas|tensorflow|pytorch|regression|nlp
CCS,2,2,Cloud & Distributed Systems|Web Development,Software Engineering,73.6,Digital Logic & Design,67.4,Engineering Mathematics-IV,65.5,C++,65.4,Operating Systems,62.4,node|microcontroller|ci/cd|mongodb|docker|fullstack|azure|aws|react|cloud
DWM,1,4,Data Science & Analytics,Java,83.5,Database Management Systems,63.2,Cryptography & Network Security,62.0,Artificial Intelligence,58.4,Computer Networks,58.29288214583039,power bi|dashboard|postgresql|etl|data mining|sql|analytics|mqtt|tableau
CCS,3,2,Cloud & Distributed Systems|Web Development|Network & Wireless Systems,Microcontroller & Embedded Systems,96.11744816904805,Engineering Mathematics-IV,93.9,Software Engineering,91.9,Design & Analysis of Algorithms,89.0,Engineering Mathematics-III,88.0,node|kubernetes|ci/cd|azure|devops|fullstack|cloud
ML,2,4,Artificial Intelligence & Machine Learning|Data Science & Analytics,Artificial Intelligence,76.4,Python,70.6,Engineering Mathematics-IV,69.3,Digital Logic & Design,67.5,C++,66.4,sklearn|classification|machine learning|pytorch|tensorflow|pandas|deep learning|regression|python|nlp
ML,1,1,Artificial Intelligence & Machine Learning,Artificial Intelligence,81.2,Operating Systems,79.8,Database Management Systems,77.7,Cryptography & Network Security,77.3,Engineering Mathematics-III,75.2,sklearn|numpy|classification
CCS,3,2,Cloud & Distributed Systems|Web Development|Network & Wireless Systems,Python,87.80828213752339,Artificial Intelligence,77.95333583101313,Operating Systems,77.9,C++,72.9,Database Management Systems,71.4,kubernetes|ci/cd|dashboard|azure|devops|fullstack|cloud
ML,2,1,Data Science & Analytics|Network & Wireless Systems,Automata Theory,84.3,Artificial Intelligence,75.1,Computer Networks,72.37930149834338,Python,70.6,Data Structures and Algorithms,68.2,classification|machine learning|tensorflow|keras|python|nlp
ML,2,1,Artificial Intelligence & Machine Learning|Data Science & Analytics,Java,58.6,Data Structures and Algorithms,42.53472101680048,Database Management Systems,41.82660395900555,Cryptography & Network Security,37.2,Operating Systems,36.8,pytorch|neural network
DWM,2,3,Data Science & Analytics|Artificial Intelligence & Machine Learning,Engineering Mathematics-IV,71.2,Full Stack Development,66.44009083705555,Cryptography & Network Security,65.8,Computer Networks,65.66616847158028,Automata Theory,62.7,power bi|mongodb|dashboard|postgresql|etl|data mining|analytics|sql|pytorch
ML,2,2,Artificial Intelligence & Machine Learning|Data Science & Analytics,Java,77.5,Operating Systems,74.7,Automata Theory,68.7,Engineering Mathematics-III,61.5,Design & Analysis of Algorithms,61.5,sklearn|numpy|machine learning|keras|deep learning|pytorch|regression|python
DWM,2,2,Data Science & Analytics|Artificial Intelligence & Machine Learning,Engineering Mathematics-III,38.7,Python,36.6,Automata Theory,29.5,Data Structures and Algorithms,27.7,Digital Logic & Design,26.7,kubernetes|dashboard|etl|data mining|sql
CCS,1,2,Web Development,Data Structures and Algorithms,91.4,Computer Networks,83.3,Engineering Mathematics-IV,81.8,Database Management Systems,78.7,Python,73.8,ci/cd|aws|devops|analytics|fullstack|cloud
DWM,2,4,Data Science & Analytics|Cloud & Distributed Systems,Database Management Systems,76.9,Cryptography & Network Security,74.2,Python,73.5,Design & Analysis of Algorithms,72.8,Engineering Mathematics-III,72.1,data warehouse|dashboard|mongodb|postgresql|etl|data mining|analytics|sql
WT,2,1,Network & Wireless Systems|Mobile & IoT Development,Microcontroller & Embedded Systems,64.4,Design & Analysis of Algorithms,58.8,Automata Theory,57.7,Python,53.4,Database Management Systems,49.9,sensor|microcontroller|embedded|mqtt
