label,n_interests,n_projects,interests,subj_1_name,subj_1_score,subj_2_name,subj_2_score,subj_3_name,subj_3_score,subj_4_name,subj_4_score,subj_5_name,subj_5_score,project_skills
OR,1,4,Data Science & Analytics,Engineering Mathematics-III,82.1,Data Structures and Algorithms,80.1,C++,78.0,Engineering Mathematics-IV,75.0,Software Engineering,73.42286570639564,simplex|supply chain|scheduling|linear programming|simulation|queuing|optimization|inventory|firewall|scipy
OR,2,2,Data Science & Analytics|Artificial Intelligence & Machine Learning,Digital Logic & Design,83.4,Engineering Mathematics-IV,63.5,Microcontroller & Embedded Systems,59.8,IoT,55.9,Automata Theory,53.1,supply chain|simplex|simulation|linear programming|queuing|scipy
EAM,2,2,Mobile & IoT Development|Network & Wireless Systems,Microcontroller & Embedded Systems,100.0,Data Structures and Algorithms,77.6,C++,72.4,IoT,70.7,Python,67.6,power|sensor|efficiency|renewable|energy
DBM,2,1,Data Science & Analytics|Cloud & Distributed Systems,Engineering Mathematics-III,66.1,Full Stack Development,66.0,Data Structures and Algorithms,65.2,Artificial Intelligence,60.4,Python,54.1,seo|kpi|react
DBM,3,1,Web Development|Data Science & Analytics|Cloud & Distributed Systems,Software Engineering,64.5,Python,57.1,Digital Logic & Design,54.0,Automata Theory,48.4,Engineering Mathematics-III,46.0,kpi|ecommerce|digital marketing|dashboard|agile|react
OR,2,1,Data Science & Analytics|Artificial Intelligence & Machine Learning,Java,65.5,Data Structures and Algorithms,64.2,Cryptography & Network Security,59.0,Operating Systems,57.2,IoT,55.0,simplex|scheduling|simulation|queuing|inventory|firewall
OR,2,3,Data Science & Analytics|Artificial Intelligence & Machine Learning,Design & Analysis of Algorithms,77.4,Engineering Mathematics-IV,72.8,Computer Networks,71.8,IoT,64.4,Software Engineering,63.0,supply chain|scheduling|simulation|linear programming|fmea|queuing|optimization|inventory|scipy|web
EAM,1,2,Mobile & IoT Development,Microcontroller & Embedded Systems,56.0,IoT,55.0,Automata Theory,51.3,Artificial Intelligence,51.0,Computer Networks,49.6,solar|monitoring|power|iot|sensor|simulation|hvac|energy
RE,1,3,Network & Wireless Systems,Operating Systems,89.6,Engineering Mathematics-IV,83.9,Software Engineering,72.7,Artificial Intelligence,71.5,Data Structures and Algorithms,70.6,weibull|fault tree|monitoring|statistics|quality|dashboard|simulation|fmea|probability|risk
RE,2,1,Network & Wireless Systems|Cloud & Distributed Systems,Automata Theory,98.3,Artificial Intelligence,94.8,Design & Analysis of Algorithms,86.5,IoT,84.0,Java,83.1,encryption|fault tree|reliability|probability
OR,2,2,Data Science & Analytics|Artificial Intelligence & Machine Learning,Engineering Mathematics-III,100.0,Engineering Mathematics-IV,100.0,Operating Systems,97.1,Cryptography & Network Security,97.1,Java,96.9,simplex|scheduling|linear programming|simulation|queuing|inventory
OR,2,2,Data Science & Analytics|Artificial Intelligence & Machine Learning,C++,66.3,Cryptography & Network Security,60.1,Artificial Intelligence,53.8,Engineering Mathematics-IV,52.7,Computer Networks,47.7,statistics|linear programming|simulation|queuing|inventory|optimization|scipy
EAM,3,2,Mobile & IoT Development|Network & Wireless Systems|Cloud & Distributed Systems,Computer Networks,90.5,C++,88.1,Cryptography & Network Security,85.6,Java,81.6,IoT,78.8,audit|monitoring|sensor|iot|efficiency|renewable|energy
OR,2,3,Data Science & Analytics|Web Development,Microcontroller & Embedded Systems,69.0,Database Management Systems,66.3,Python,60.4,Engineering Mathematics-III,60.2,Digital Logic & Design,58.3,simplex|supply chain|scheduling|linear programming|simulation|queuing|inventory|optimization|scipy
DBM,2,1,Data Science & Analytics|Web Development,Database Management Systems,49.0,IoT,48.6,Software Engineering,48.1,Automata Theory,45.5,Digital Logic & Design,42.0,dashboard|agile|ecommerce|react
EAM,2,2,Mobile & IoT Development|Network & Wireless Systems,Microcontroller & Embedded Systems,59.7,Operating Systems,48.7,Engineering Mathematics-III,47.4,Cryptography & Network Security,46.3,C++,45.3,solar|energy|monitoring|power
RE,1,1,Network & Wireless Systems,Engineering Mathematics-III,70.4,Automata Theory,57.1,Digital Logic & Design,56.5,Python,56.1,Engineering Mathematics-IV,53.2,weibull|fault tree|simulation|agile|probability|risk|reliability
CSL,1,2,Network & Wireless Systems,Python,82.4,Computer Networks,82.0,Cryptography & Network Security,75.1,Digital Logic & Design,68.9,Operating Systems,61.3,vulnerability|authentication|security|cyber|firewall|forensics|encryption
CSL,2,3,Network & Wireless Systems|Cloud & Distributed Systems,Computer Networks,60.7,IoT,50.9,Design & Analysis of Algorithms,50.7,Full Stack Development,50.4,Software Engineering,45.8,vulnerability|supply chain|authentication|simulation|phishing|cyber|firewall|network security|forensics
RE,2,1,Network & Wireless Systems|Cloud & Distributed Systems,Digital Logic & Design,66.8,Engineering Mathematics-IV,65.1,Engineering Mathematics-III,62.5,Data Structures and Algorithms,62.4,Cryptography & Network Security,60.7,weibull|quality|statistics
RE,1,1,Network & Wireless Systems,Data Structures and Algorithms,100.0,Operating Systems,98.4,Artificial Intelligence,92.7,Database Management Systems,90.7,Computer Networks,89.7,weibull|reliability
RE,2,2,Network & Wireless Systems|Cloud & Distributed Systems,Computer Networks,38.86497380996451,Database Management Systems,30.8,Software Engineering,27.9,IoT,23.4,Cryptography & Network Security,14.506733691188312,quality|testing|monitoring|probability
EAM,1,4,Mobile & IoT Development,Operating Systems,100.0,Computer Networks,100.0,Microcontroller & Embedded Systems,100.0,Design & Analysis of Algorithms,100.0,Cryptography & Network Security,100.0,audit|supply chain|solar|monitoring|power|sensor|efficiency|hvac|renewable
CSL,1,2,Network & Wireless Systems,Computer Networks,76.7,Java,74.2,Operating Systems,70.5,Digital Logic & Design,65.8,Python,63.9,vulnerability|authentication|phishing|security|firewall|forensics
EAM,2,3,Mobile & IoT Development|Network & Wireless Systems,Software Engineering,90.26633565952277,Design & Analysis of Algorithms,69.7,Data Structures and Algorithms,66.5,Computer Networks,64.2,C++,61.5,weibull|audit|solar|fault tree|monitoring|power|iot|efficiency|hvac|renewable
DBM,3,4,Data Science & Analytics|Web Development|Cloud & Distributed Systems,C++,89.5,Full Stack Development,77.1,Cryptography & Network Security,76.7,Database Management Systems,76.6,Software Engineering,71.1,kpi|ecommerce|digital marketing|dashboard|agile|crm|analytics|react|seo|web
OR,1,3,Data Science & Analytics,Engineering Mathematics-III,44.1,Database Management Systems,43.3,Automata Theory,42.2,Cryptography & Network Security,37.0,Microcontroller & Embedded Systems,36.7,supply chain|simplex|scheduling|simulation|linear programming|optimization|inventory|scipy
EAM,1,1,Mobile & IoT Development,C++,65.1,Digital Logic & Design,64.7,Software Engineering,62.7,Microcontroller & Embedded Systems,59.7,Java,55.4,audit|monitoring|power|efficiency|renewable
CSL,1,2,Network & Wireless Systems,Database Management Systems,97.3,Computer Networks,90.2,Software Engineering,85.5,Cryptography & Network Security,81.3,Automata Theory,79.5,vulnerability|security|cyber|firewall|network security|forensics|web|encryption
DBM,3,3,Web Development|Data Science & Analytics|Cloud & Distributed Systems,Data Structures and Algorithms,100.0,Engineering Mathematics-IV,99.8,Software Engineering,99.2,Cryptography & Network Security,97.7,Java,95.1,ecommerce|digital marketing|probability|dashboard|sensor|agile|hvac|crm|react|seo
