student_id,archetype,semester,current_cgpa,current_sgpa,previous_sgpa,sgpa_trend,attendance,lab_performance,project_score,participation_score,extracurricular,dept_avg,num_subjects,num_backlogs,num_strong_subjects,num_weak_subjects,avg_subject_score,min_subject_score,max_subject_score,std_subject_score,practical_avg,theory_avg,credits_completed_ratio,next_sgpa
STU_00000,below_avg,3,0.57,0.89,0.0,0.89,54.3,49.5,23.3,55.1,0.0,5.56,6,4,0,5,29.0,8.1,59.5,18.3,52.8,17.1,0.25,1.09
STU_00001,below_avg,3,0.51,0.0,1.47,-1.47,62.0,35.1,36.9,42.1,9.1,6.82,6,6,0,6,19.3,2.0,37.2,14.2,32.1,12.9,0.25,0.0
STU_00002,failing,4,0.05,0.0,0.0,0.0,33.0,24.9,18.1,41.8,0.0,6.65,7,7,0,7,14.3,2.0,36.8,12.9,33.9,6.5,0.38,0.0
STU_00003,average,4,0.46,1.14,0.0,1.14,69.0,55.1,42.4,45.9,0.0,5.01,7,5,0,7,31.4,11.9,48.5,12.4,42.4,26.9,0.38,1.22
STU_00004,average,3,1.72,1.16,2.0,-0.84,63.8,49.8,24.0,64.0,39.7,4.34,6,4,0,5,35.8,19.2,53.9,12.0,46.0,30.7,0.25,0.32
STU_00005,below_avg,6,0.58,0.0,0.44,-0.44,54.3,27.9,67.0,100.0,15.9,6.72,4,4,0,4,14.3,2.0,25.3,9.6,16.3,8.1,0.62,0.67
STU_00006,average,4,3.48,4.14,3.16,0.98,62.3,69.3,31.4,36.0,29.0,5.75,7,1,0,4,45.2,22.2,65.8,12.6,53.0,42.0,0.38,6.56
STU_00007,topper,6,9.19,9.5,8.56,0.94,92.2,94.0,69.0,70.7,84.9,6.17,4,0,4,0,89.0,78.6,95.9,6.6,92.5,78.6,0.62,10.0
STU_00008,strong,4,7.45,7.14,7.74,-0.6,81.9,83.2,56.4,76.4,64.6,6.56,7,0,1,0,67.5,62.4,81.8,6.3,74.8,64.6,0.38,7.11
STU_00009,above_avg,7,5.91,6.67,5.0,1.67,73.2,76.9,56.8,34.6,36.3,5.51,3,0,0,1,60.0,48.5,67.8,8.3,58.1,63.6,0.75,7.33
STU_00010,above_avg,5,3.81,3.11,4.45,-1.34,77.4,71.6,59.9,41.0,60.5,6.09,4,1,0,2,50.9,35.2,65.8,11.5,61.3,40.4,0.5,3.25
STU_00011,strong,6,8.23,8.38,8.44,-0.06,86.5,100.0,60.9,87.3,58.1,6.17,4,0,3,0,80.5,61.5,91.5,11.9,86.8,61.5,0.62,8.0
STU_00012,below_avg,4,2.06,2.18,1.47,0.71,67.1,55.2,35.7,39.5,0.0,6.28,7,4,1,5,36.2,12.3,70.9,20.1,47.0,31.9,0.38,0.67
STU_00013,improving,3,2.69,3.84,0.74,3.1,68.0,81.5,71.5,44.9,57.2,6.0,6,1,0,4,48.1,28.4,66.5,12.9,64.3,40.0,0.25,7.0
STU_00014,above_avg,5,4.44,5.56,3.82,1.74,85.0,63.0,76.2,61.4,36.1,6.37,4,0,1,1,59.3,43.2,84.3,15.3,70.5,48.1,0.5,7.25
STU_00015,below_avg,3,0.98,0.89,0.89,0.0,64.7,60.7,36.7,41.7,33.1,6.66,6,4,0,5,21.2,2.0,56.7,22.0,50.9,6.5,0.25,1.14
STU_00016,topper,7,9.72,10.0,9.0,1.0,88.9,100.0,94.9,55.5,55.7,5.23,3,0,3,0,97.2,91.5,100.0,4.0,95.8,100.0,0.75,10.0
STU_00017,strong,4,8.27,7.77,7.89,-0.12,93.7,75.5,94.8,72.3,47.7,6.89,7,0,3,0,69.0,60.0,81.7,6.7,66.6,70.0,0.38,8.56
STU_00018,below_avg,5,1.64,0.44,2.27,-1.83,61.6,45.6,27.1,20.5,28.7,7.35,4,3,0,4,27.1,14.4,42.2,10.1,35.3,18.9,0.5,0.0
STU_00019,average,4,0.48,1.09,0.68,0.41,79.0,28.0,56.5,76.6,0.0,6.57,7,4,0,7,33.7,19.8,43.3,8.6,42.6,30.2,0.38,3.11
STU_00020,below_avg,4,0.97,0.0,1.89,-1.89,61.5,29.3,36.8,48.3,1.6,5.15,7,7,0,7,26.6,15.9,39.1,8.7,36.3,22.8,0.38,0.0
STU_00021,above_avg,5,5.82,5.0,6.05,-1.05,84.2,61.0,53.9,48.9,2.3,5.99,4,0,0,2,55.9,44.9,69.3,9.8,65.2,46.7,0.5,4.88
STU_00022,above_avg,4,4.92,4.77,6.0,-1.23,88.5,46.7,46.9,45.4,28.2,6.99,7,1,0,2,52.6,39.9,62.7,7.9,58.9,50.0,0.38,3.56
STU_00023,struggling,4,0.12,0.0,0.63,-0.63,41.8,1.7,24.1,45.2,32.6,8.27,7,7,0,7,10.0,2.0,23.3,8.8,2.0,13.2,0.38,0.0
STU_00024,average,5,2.81,3.33,3.14,0.19,74.3,70.0,80.0,51.3,57.1,5.92,4,1,1,3,52.1,32.1,80.0,17.4,64.7,39.5,0.5,5.62
STU_00025,average,3,5.09,6.05,4.11,1.94,65.4,79.7,44.6,50.1,36.7,6.38,6,0,0,1,57.5,48.3,69.9,7.8,62.5,55.0,0.25,5.14
STU_00026,average,3,1.4,1.68,0.84,0.84,82.2,56.7,75.7,61.0,2.1,6.79,6,4,0,5,35.0,19.7,55.3,13.5,44.8,30.1,0.25,4.36
STU_00027,above_avg,4,5.67,5.95,4.74,1.21,85.5,71.9,74.8,62.4,29.2,7.01,7,0,1,3,56.1,43.8,74.1,10.7,54.8,56.6,0.38,10.0
STU_00028,strong,4,6.14,6.59,5.11,1.48,87.8,64.6,72.3,44.9,19.9,6.63,7,0,1,1,60.9,46.5,70.7,8.4,58.7,61.7,0.38,6.78
STU_00029,average,3,4.77,4.89,4.74,0.15,76.3,68.8,54.5,77.0,17.5,6.61,6,1,0,2,55.6,30.6,67.6,14.0,64.2,51.3,0.25,2.27
STU_00030,average,5,0.22,0.78,0.0,0.78,73.8,34.9,29.0,44.5,16.3,5.4,4,3,0,3,33.5,13.2,64.1,18.7,45.5,21.5,0.5,2.62
STU_00031,below_avg,5,1.59,0.67,2.0,-1.33,59.1,46.9,34.7,29.6,26.0,6.13,4,3,0,3,27.8,9.9,50.4,16.2,43.0,12.6,0.5,0.0
STU_00032,average,6,0.81,0.0,1.11,-1.11,65.9,34.4,62.6,41.4,2.2,5.07,4,4,0,4,35.6,32.8,39.1,2.3,34.4,39.1,0.62,0.0
STU_00033,above_avg,5,4.77,3.78,5.18,-1.4,86.1,59.1,68.1,33.8,26.6,6.58,4,1,1,2,52.3,35.9,73.3,13.5,62.8,41.8,0.5,6.5
STU_00034,below_avg,3,0.0,0.42,0.32,0.1,54.1,33.2,35.7,53.9,25.3,5.76,6,5,0,6,29.1,17.9,44.4,9.5,39.9,23.8,0.25,0.73
STU_00035,average,3,3.48,4.53,2.84,1.69,81.2,76.5,46.7,62.2,41.6,6.74,6,1,0,2,48.4,28.9,55.4,9.0,51.0,47.0,0.25,3.64
STU_00036,above_avg,5,5.9,6.11,5.68,0.43,77.0,67.4,51.4,59.7,31.4,7.29,4,0,1,1,61.1,48.9,70.6,8.1,65.0,57.2,0.5,6.75
STU_00037,average,3,1.14,0.42,1.68,-1.26,77.7,23.4,12.9,63.9,31.7,4.74,6,5,0,6,26.2,5.4,40.9,10.8,23.1,27.7,0.25,4.05
STU_00038,above_avg,3,3.86,5.05,2.53,2.52,74.6,59.3,58.3,62.7,61.3,5.73,6,0,0,4,48.5,44.0,56.0,4.1,50.2,47.6,0.25,4.32
STU_00039,average,5,2.77,1.22,4.59,-3.37,63.5,56.4,58.8,41.7,62.4,6.44,4,2,0,3,44.9,35.5,61.6,10.0,52.4,37.5,0.5,1.75
STU_00040,topper,6,9.93,10.0,9.67,0.33,92.1,100.0,84.2,76.6,43.0,5.44,4,0,4,0,95.5,84.5,100.0,6.4,94.0,100.0,0.62,10.0
STU_00041,struggling,7,0.0,0.0,0.0,0.0,36.1,19.2,25.9,16.9,10.1,6.83,3,3,0,3,11.4,2.0,30.1,13.2,16.1,2.0,0.75,0.0
STU_00042,struggling,3,0.56,0.0,0.74,-0.74,45.5,30.6,39.5,17.5,2.1,7.4,6,6,0,6,10.2,2.0,29.2,9.5,16.7,6.9,0.25,0.0
STU_00043,strong,4,6.44,6.41,6.16,0.25,80.8,86.8,65.6,84.7,21.4,5.58,7,0,1,1,63.7,45.8,89.7,12.6,79.2,57.5,0.38,9.67
STU_00044,topper,4,9.35,9.27,10.0,-0.73,93.1,100.0,100.0,83.9,40.5,7.46,7,0,7,0,84.7,72.7,100.0,8.8,93.8,81.0,0.38,10.0
STU_00045,topper,4,9.57,9.77,9.37,0.4,90.3,100.0,81.1,86.1,71.5,7.56,7,0,7,0,84.4,77.8,97.0,6.3,87.4,83.2,0.38,10.0
STU_00046,topper,5,9.78,8.89,9.91,-1.02,85.9,90.4,78.0,77.6,58.9,6.87,4,0,4,0,83.2,71.1,95.3,10.4,85.0,81.3,0.5,9.0
STU_00047,average,4,2.6,1.77,2.11,-0.34,76.4,33.5,44.8,49.9,9.9,5.95,7,4,0,6,36.6,17.5,63.4,14.2,43.9,33.7,0.38,0.0
