student_id,subject_name,subject_code,semester,archetype,subject_score,attendance,lab_performance,previous_related_score,cgpa,credits,is_practical,class_avg_score,trend_indicator,weakness_severity,needs_intervention
STU_00000,Automata Theory,ITPCC509,5,average,15.2,71.7,0.0,35.8,5.53,4,0,51.5,1,4,1
STU_00000,Design & Analysis of Algorithms,ITPCC501,5,average,40.4,71.4,41.1,43.1,5.53,3,0,51.5,0,3,1
STU_00000,Cloud Computing Laboratory,ITLBC506,5,average,64.8,59.1,63.8,38.5,5.53,1,1,51.5,0,1,0
STU_00000,Mobile App Development Lab,ITLBC507,5,average,70.4,76.2,86.3,47.3,5.53,1,1,51.5,1,1,0
STU_00001,Engineering Mathematics-IV,MATH401,4,average,24.4,80.8,18.4,24.3,6.14,4,0,47.6,1,3,1
STU_00001,Operating Systems,OS401,4,average,45.7,70.7,30.7,37.3,6.14,4,0,47.6,0,2,1
STU_00001,Computer Networks,CN401,4,average,41.7,70.1,7.1,60.2,6.14,4,0,47.6,0,2,0
STU_00001,Software Engineering,SE401,4,average,52.1,70.3,67.9,60.4,6.14,4,0,47.6,-1,2,0
STU_00001,Microcontroller & Embedded Systems,MES401,4,average,38.7,69.0,48.2,55.4,6.14,4,0,47.6,0,2,1
STU_00001,Microcontroller Lab,MESL401,4,average,38.7,70.1,54.1,46.0,6.14,1,1,47.6,0,2,0
STU_00001,Computer Networks Lab,CNL401,4,average,68.8,85.8,63.8,36.3,6.14,1,1,47.6,1,0,0
STU_00002,Engineering Mathematics-III,MATH301,3,above_avg,38.1,83.8,22.4,50.2,6.0,4,0,55.7,1,2,0
STU_00002,Data Structures and Algorithms,DSA301,3,above_avg,43.7,72.3,43.4,52.0,6.0,4,0,55.7,-1,2,0
STU_00002,Database Management Systems,DBMS301,3,above_avg,47.9,71.0,37.4,50.9,6.0,4,0,55.7,1,1,0
STU_00002,Digital Logic & Design,DLDA301,3,above_avg,47.4,80.0,25.7,66.2,6.0,4,0,55.7,-1,1,0
STU_00002,Python Programming,PYTHON301,3,above_avg,57.7,78.3,70.0,46.0,6.0,2,1,55.7,1,1,0
STU_00002,DSA Laboratory,DSAL301,3,above_avg,52.1,78.9,44.9,46.4,6.0,1,1,55.7,0,1,0
STU_00003,Engineering Mathematics-IV,MATH401,4,above_avg,48.6,100.0,42.6,46.4,6.86,4,0,58.8,0,2,0
STU_00003,Operating Systems,OS401,4,above_avg,47.4,84.3,20.7,34.4,6.86,4,0,58.8,0,1,0
STU_00003,Computer Networks,CN401,4,above_avg,33.5,72.9,12.3,49.6,6.86,4,0,58.8,1,3,1
STU_00003,Software Engineering,SE401,4,above_avg,47.1,73.9,35.7,48.4,6.86,4,0,58.8,1,2,1
STU_00003,Microcontroller & Embedded Systems,MES401,4,above_avg,32.6,58.4,33.6,54.2,6.86,4,0,58.8,1,4,1
STU_00003,Microcontroller Lab,MESL401,4,above_avg,57.7,89.6,48.2,49.3,6.86,1,1,58.8,0,2,0
STU_00003,Computer Networks Lab,CNL401,4,above_avg,69.4,75.7,64.8,76.2,6.86,1,1,58.8,0,0,0
STU_00004,Cryptography & Network Security,ITPCC611,6,below_avg,17.6,54.6,21.4,32.7,4.86,4,0,69.6,-1,4,1
STU_00004,Cryptography Lab,ITLBC608,6,below_avg,38.7,54.0,49.6,38.0,4.86,1,1,69.6,0,3,1
STU_00004,Data Science Laboratory,ITLBC609,6,below_avg,37.3,72.3,38.6,51.9,4.86,1,1,69.6,-1,2,0
