student_id,archetype,semester,current_cgpa,current_sgpa,previous_sgpa,sgpa_trend,attendance,assignment_completion,quiz_average,lab_performance,project_score,study_hours,participation_score,extracurricular,dept_avg,num_subjects,num_backlogs,num_strong_subjects,num_weak_subjects,avg_subject_score,min_subject_score,max_subject_score,std_subject_score,practical_avg,theory_avg,credits_completed_ratio,next_sgpa
STU_00000,above_avg,5,6.51,6.89,6.27,0.62,74.9,64.1,53.0,61.9,74.8,4.2,76.8,17.6,6.37,4,0,1,0,64.6,51.4,77.3,9.4,72.7,56.5,0.5,8.0
STU_00001,above_avg,3,5.53,5.53,5.84,-0.31,82.9,64.8,56.3,62.0,54.0,7.9,58.0,29.9,6.41,6,0,1,2,54.9,42.6,78.7,12.7,71.2,46.8,0.25,6.27
STU_00002,strong,4,7.65,7.27,7.21,0.06,86.1,89.9,69.5,98.9,71.2,6.8,53.1,51.6,7.24,7,0,3,0,69.5,59.6,82.4,9.0,81.7,64.6,0.38,10.0
STU_00003,topper,3,9.32,9.79,8.74,1.05,89.3,96.1,88.3,100.0,83.0,12.2,52.8,24.7,7.04,6,0,6,0,86.7,78.8,98.0,6.4,90.0,85.0,0.25,10.0
STU_00004,struggling,4,1.09,0.0,2.32,-2.32,53.3,24.1,26.8,40.5,35.3,2.1,19.0,54.3,4.6,7,7,0,7,18.3,2.0,33.8,9.6,22.2,16.7,0.38,0.0
STU_00005,average,5,3.28,3.22,3.27,-0.05,65.2,53.6,44.1,70.1,52.3,4.6,64.2,47.3,7.08,4,1,0,2,47.3,31.7,58.1,10.0,52.0,42.6,0.5,3.12
STU_00006,above_avg,3,7.16,6.21,7.84,-1.63,89.6,59.1,71.0,100.0,47.6,5.3,90.4,35.3,7.16,6,1,4,2,68.8,39.7,87.9,18.3,86.0,60.2,0.25,7.86
STU_00007,strong,5,8.06,7.22,8.14,-0.92,78.3,94.0,76.6,71.6,81.6,9.9,98.4,75.1,6.25,4,0,2,0,67.7,58.9,74.3,6.5,69.0,66.2,0.5,8.5
STU_00008,strong,5,5.34,4.89,6.27,-1.38,96.3,80.5,56.9,89.3,75.0,5.7,63.5,47.7,6.12,4,0,2,2,57.7,41.9,73.7,14.6,72.2,43.1,0.5,5.88
STU_00009,below_avg,4,1.23,2.0,0.0,2.0,61.4,47.4,22.6,26.3,16.3,2.1,29.5,35.4,6.63,7,5,0,6,27.6,3.3,59.8,19.7,28.9,27.0,0.38,0.56
STU_00010,average,5,3.21,5.22,1.36,3.86,64.5,66.0,54.3,59.4,59.6,2.6,49.3,24.7,4.94,4,1,0,2,50.3,25.1,67.2,17.7,46.2,54.4,0.5,4.62
STU_00011,average,5,1.35,0.89,0.91,-0.02,67.3,59.2,37.5,51.3,50.1,5.2,49.4,43.2,6.3,4,2,0,4,34.6,25.7,42.3,7.1,41.5,27.6,0.5,3.25
STU_00012,below_avg,5,0.0,0.0,0.0,0.0,60.0,59.8,7.4,21.4,54.2,3.8,41.4,75.2,6.11,4,4,0,4,19.6,11.0,28.0,7.9,27.5,11.7,0.5,1.0
