Task,Model,Primary Metric,Value,Secondary Metric,Value,CV Score,N Samples
PEC Recommender,RandomForest(200)+KNN(5),Accuracy,0.9833,F1 Weighted,0.9833,0.9926+/-0.0023,2688
OEC Recommender,RandomForest(200),Accuracy,0.9873,F1 Weighted,0.9873,0.9823+/-0.0083,2750
Perf. Predictor,XGBoost,RMSE,1.4374,R2,0.8297,1.4001+/-0.0322,4800
Perf. Predictor [BEST],RandomForest,RMSE,1.3932,R2,0.8400,1.3609+/-0.0346,4800
Perf. Predictor,GradientBoosting,RMSE,1.4237,R2,0.8330,1.3934+/-0.0339,4800
Perf. Predictor,LightGBM,RMSE,1.4207,R2,0.8337,1.3990+/-0.0414,4800
Weakness Detector,XGBoost,F1 Weighted,0.8005,Accuracy,0.7989,0.7993+/-0.0037,16867
Weakness Detector,LightGBM,F1 Weighted,0.7933,Accuracy,0.7920,0.7982+/-0.0059,16867
Weakness Detector [BEST],RandomForest,F1 Weighted,0.8140,Accuracy,0.8117,0.8125+/-0.0066,16867
Weakness Detector,GradientBoosting,F1 Weighted,0.8013,Accuracy,0.7996,0.7948+/-0.0055,16867
