student_id,subject_name,subject_code,semester,archetype,subject_score,attendance,assignment_score,quiz_average,lab_performance,previous_related_score,study_hours,difficulty_factor,cgpa,credits,is_practical,class_avg_score,score_vs_class_avg,trend_indicator,weakness_severity,needs_intervention
STU_00000,Engineering Mathematics-IV,MATH401,4,average,25.9,69.6,65.4,30.2,8.9,56.7,7.2,0.78,5.58,4,0,51.1,-25.2,1,3,1
STU_00000,Operating Systems,OS401,4,average,33.4,76.4,66.2,20.1,36.3,31.4,6.9,0.72,5.58,4,0,51.1,-17.7,0,3,1
STU_00000,Computer Networks,CN401,4,average,28.6,68.6,97.9,36.1,12.5,42.7,5.0,0.67,5.58,4,0,51.1,-22.5,-1,3,1
STU_00000,Software Engineering,SE401,4,average,32.4,66.7,72.4,19.7,19.6,44.0,8.2,0.5,5.58,4,0,51.1,-18.7,1,3,1
STU_00000,Microcontroller & Embedded Systems,MES401,4,average,20.2,73.0,54.9,17.8,20.7,35.3,8.0,0.75,5.58,4,0,51.1,-30.9,1,4,1
STU_00000,Microcontroller Lab,MESL401,4,average,43.2,68.3,73.2,6.6,59.8,23.0,0.1,0.48,5.58,1,1,51.1,-7.9,1,3,1
STU_00000,Computer Networks Lab,CNL401,4,average,32.9,72.1,71.6,31.8,43.1,35.7,1.9,0.43,5.58,1,1,51.1,-18.2,0,3,1
STU_00001,Cryptography & Network Security,ITPCC611,6,failing,2.0,29.8,13.9,0.0,53.8,7.9,1.7,0.8,2.72,4,0,51.3,-49.3,-1,4,1
STU_00001,Cryptography Lab,ITLBC608,6,failing,9.0,42.0,30.4,10.6,21.3,5.0,0.0,0.48,2.72,1,1,51.3,-42.3,0,4,1
STU_00001,Data Science Laboratory,ITLBC609,6,failing,2.0,22.6,12.7,0.0,21.0,7.9,0.8,0.4,2.72,1,1,51.3,-49.3,0,4,1
STU_00001,DevOps Laboratory,ITSBL603,6,failing,11.5,28.7,17.6,0.0,17.0,5.0,1.2,0.46,2.72,2,1,51.3,-39.8,-1,4,1
STU_00002,Engineering Mathematics-IV,MATH401,4,strong,63.8,85.9,62.9,56.7,42.4,55.4,11.0,0.78,6.18,4,0,41.8,22.0,0,1,0
STU_00002,Operating Systems,OS401,4,strong,53.6,89.5,81.3,45.0,54.1,61.8,8.4,0.72,6.18,4,0,41.8,11.8,-1,2,0
STU_00002,Computer Networks,CN401,4,strong,71.1,85.0,71.1,84.1,45.3,65.4,10.5,0.67,6.18,4,0,41.8,29.3,1,0,0
STU_00002,Software Engineering,SE401,4,strong,59.1,75.9,74.5,69.1,30.9,67.1,14.1,0.5,6.18,4,0,41.8,17.3,0,1,0
STU_00002,Microcontroller & Embedded Systems,MES401,4,strong,80.4,90.5,78.7,97.0,74.0,69.0,13.4,0.75,6.18,4,0,41.8,38.6,0,0,0
STU_00002,Microcontroller Lab,MESL401,4,strong,73.6,98.6,55.6,67.5,75.7,83.9,3.5,0.48,6.18,1,1,41.8,31.8,0,0,0
STU_00002,Computer Networks Lab,CNL401,4,strong,82.9,77.6,75.0,87.0,89.1,64.6,5.5,0.43,6.18,1,1,41.8,41.1,1,0,0
STU_00003,Cryptography & Network Security,ITPCC611,6,topper,88.5,85.7,78.8,78.9,82.7,85.2,15.0,0.8,7.13,4,0,49.2,39.3,1,0,0
STU_00003,Cryptography Lab,ITLBC608,6,topper,95.9,81.1,93.0,100.0,100.0,76.9,4.9,0.48,7.13,1,1,49.2,46.7,0,0,0
STU_00003,Data Science Laboratory,ITLBC609,6,topper,100.0,98.9,73.9,100.0,100.0,73.4,2.1,0.4,7.13,1,1,49.2,50.8,-1,0,0
STU_00003,DevOps Laboratory,ITSBL603,6,topper,94.5,100.0,95.8,100.0,100.0,98.5,9.6,0.46,7.13,2,1,49.2,45.3,0,0,0
STU_00004,Engineering Mathematics-IV,MATH401,4,strong,68.2,100.0,88.2,65.1,59.3,49.1,12.9,0.78,7.32,4,0,62.9,5.3,1,0,0
STU_00004,Operating Systems,OS401,4,strong,78.7,98.9,76.8,73.1,78.3,55.7,9.5,0.72,7.32,4,0,62.9,15.8,1,0,0
STU_00004,Computer Networks,CN401,4,strong,57.3,89.9,75.1,31.2,43.9,71.8,12.5,0.67,7.32,4,0,62.9,-5.6,0,1,0
STU_00004,Software Engineering,SE401,4,strong,71.4,78.0,87.1,81.2,76.9,42.8,11.9,0.5,7.32,4,0,62.9,8.5,1,0,0
STU_00004,Microcontroller & Embedded Systems,MES401,4,strong,50.1,95.6,88.5,51.1,59.5,61.0,10.0,0.75,7.32,4,0,62.9,-12.8,1,1,0
STU_00004,Microcontroller Lab,MESL401,4,strong,80.2,94.8,80.6,100.0,76.7,72.6,0.9,0.48,7.32,1,1,62.9,17.3,1,0,0
STU_00004,Computer Networks Lab,CNL401,4,strong,90.3,100.0,94.4,97.3,100.0,61.7,1.8,0.43,7.32,1,1,62.9,27.4,-1,0,0
STU_00005,Engineering Mathematics-IV,MATH401,4,below_avg,2.0,85.5,41.9,13.8,27.2,25.0,3.4,0.78,2.76,4,0,44.4,-42.4,0,4,1
STU_00005,Operating Systems,OS401,4,below_avg,19.0,72.6,31.2,3.0,0.0,15.9,5.9,0.72,2.76,4,0,44.4,-25.4,0,4,1
STU_00005,Computer Networks,CN401,4,below_avg,29.2,79.3,21.8,18.5,51.9,33.3,4.4,0.67,2.76,4,0,44.4,-15.2,0,4,1
STU_00005,Software Engineering,SE401,4,below_avg,17.3,69.8,14.7,8.8,21.6,29.7,5.2,0.5,2.76,4,0,44.4,-27.1,1,4,1
STU_00005,Microcontroller & Embedded Systems,MES401,4,below_avg,18.2,75.4,40.7,0.0,11.7,13.8,6.0,0.75,2.76,4,0,44.4,-26.2,1,4,1
STU_00005,Microcontroller Lab,MESL401,4,below_avg,34.1,82.0,38.4,12.5,30.9,22.8,1.8,0.48,2.76,1,1,44.4,-10.3,0,3,1
STU_00005,Computer Networks Lab,CNL401,4,below_avg,37.0,79.4,24.0,33.6,75.7,44.4,4.0,0.43,2.76,1,1,44.4,-7.4,1,3,1
STU_00006,Engineering Mathematics-III,MATH301,3,strong,77.1,79.0,93.6,38.9,78.2,60.6,7.7,0.82,7.78,4,0,60.3,16.8,1,0,0
STU_00006,Data Structures and Algorithms,DSA301,3,strong,55.9,86.6,92.2,43.4,62.3,61.4,9.8,0.68,7.78,4,0,60.3,-4.4,-1,1,0
STU_00006,Database Management Systems,DBMS301,3,strong,67.7,82.2,79.6,71.9,69.0,76.3,12.1,0.58,7.78,4,0,60.3,7.4,1,0,0
STU_00006,Digital Logic & Design,DLDA301,3,strong,34.6,72.1,86.1,28.3,28.3,61.5,11.1,0.65,7.78,4,0,60.3,-25.7,1,3,1
STU_00006,Python Programming,PYTHON301,3,strong,86.4,79.3,92.4,91.4,92.1,67.8,3.3,0.38,7.78,2,1,60.3,26.1,1,0,0
STU_00006,DSA Laboratory,DSAL301,3,strong,72.9,93.1,100.0,54.7,57.8,76.6,1.3,0.42,7.78,1,1,60.3,12.6,0,0,0
STU_00007,Engineering Mathematics-III,MATH301,3,above_avg,49.5,79.2,66.2,85.5,24.3,53.8,4.7,0.82,6.61,4,0,46.3,3.2,-1,2,0
STU_00007,Data Structures and Algorithms,DSA301,3,above_avg,47.0,82.6,65.3,50.7,45.9,54.9,4.0,0.68,6.61,4,0,46.3,0.7,0,1,0
STU_00007,Database Management Systems,DBMS301,3,above_avg,33.1,69.4,85.5,41.8,40.3,67.5,4.8,0.58,6.61,4,0,46.3,-13.2,0,3,1
STU_00007,Digital Logic & Design,DLDA301,3,above_avg,61.8,80.6,65.7,35.2,96.3,60.0,6.0,0.65,6.61,4,0,46.3,15.5,0,1,0
STU_00007,Python Programming,PYTHON301,3,above_avg,92.0,76.9,58.2,79.0,100.0,55.3,2.0,0.38,6.61,2,1,46.3,45.7,1,0,0
STU_00007,DSA Laboratory,DSAL301,3,above_avg,60.1,77.9,75.7,90.9,93.1,49.5,0.0,0.42,6.61,1,1,46.3,13.8,0,0,0
STU_00008,Engineering Mathematics-IV,MATH401,4,struggling,2.0,39.0,31.1,0.0,0.0,7.0,4.0,0.78,0.68,4,0,43.0,-41.0,-1,4,1
STU_00008,Operating Systems,OS401,4,struggling,2.0,35.4,26.2,0.0,9.1,25.7,0.0,0.72,0.68,4,0,43.0,-41.0,0,4,1
STU_00008,Computer Networks,CN401,4,struggling,2.0,35.1,32.0,0.0,0.0,31.6,2.7,0.67,0.68,4,0,43.0,-41.0,-1,4,1
STU_00008,Software Engineering,SE401,4,struggling,29.5,33.6,22.8,8.1,19.1,5.0,0.0,0.5,0.68,4,0,43.0,-13.5,-1,4,1
STU_00008,Microcontroller & Embedded Systems,MES401,4,struggling,2.0,33.8,39.4,0.1,5.7,36.9,4.8,0.75,0.68,4,0,43.0,-41.0,-1,4,1
STU_00008,Microcontroller Lab,MESL401,4,struggling,2.0,49.8,27.5,0.0,11.8,31.3,0.6,0.48,0.68,1,1,43.0,-41.0,0,4,1
STU_00008,Computer Networks Lab,CNL401,4,struggling,31.7,28.7,31.1,27.8,40.4,36.7,0.0,0.43,0.68,1,1,43.0,-11.3,0,4,1
STU_00009,Engineering Mathematics-IV,MATH401,4,average,39.6,70.8,49.6,42.4,40.3,4.4,9.7,0.78,3.91,4,0,44.3,-4.7,0,3,1
STU_00009,Operating Systems,OS401,4,average,28.9,67.2,63.0,30.0,12.0,31.1,6.9,0.72,3.91,4,0,44.3,-15.4,0,3,1
STU_00009,Computer Networks,CN401,4,average,26.6,85.9,55.1,4.9,25.7,33.2,8.1,0.67,3.91,4,0,44.3,-17.7,0,3,1
